  1 2 3 4 5 6 7
0 1 111 0101 00011 0101 000001 000001
1 011 110 111 111 0100 00001 00001
2 010 101 110 0101 0011 111 101
3 0011 100 101 0100 111 110 100
4 0010 011 0100 110 110 101 011
5 00011 0101 0011 101 101 100 11
6 00010 0100 100 100 100 011 010
7 000011 0011 011 0011 011 010 0001
8 000010 0010 0010 011 0010 0001 001
9 0000011 00011 00011 0010 00001 001 000000
10 0000010 00010 00010 00010 0001 000000 -
11 00000011 000011 000001 00001 00000 - -
12 00000010 000010 00001 00000 - - -
13 000000011 000001 000000 - - - -
14 000000010 000000 - - - - -
15 000000001 - - - - - -
